Original Species,TRIM,CLEAN,TRIM + CLEAN,SUBSTITUTE,Blank Check,Duplicate Check
versicolor,versicolor,versicolor,versicolor,versicolor,Complete,Duplicate
versicolor,versicolor,versicolor,versicolor,versicolor,Complete,Duplicate
versicolor,versicolor,versicolor,versicolor,versicolor,Complete,Duplicate
versicolor,versicolor,versicolor,versicolor,versicolor,Complete,Duplicate
versicolor,versicolor,versicolor,versicolor,versicolor,Complete,Duplicate
versicolor,versicolor,versicolor,versicolor,versicolor,Complete,Duplicate
versicolor,versicolor,versicolor,versicolor,versicolor,Complete,Duplicate
versicolor,versicolor,versicolor,versicolor,versicolor,Complete,Duplicate
versicolor,versicolor,versicolor,versicolor,versicolor,Complete,Duplicate
versicolor,versicolor,versicolor,versicolor,versicolor,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Unique
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
virginica,virginica,virginica,virginica,virginica,Complete,Duplicate
